time,value
2024-02-14T17:55:00.159102392Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 166"
2024-02-14T17:55:01.197015927Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 164"
2024-02-14T17:55:01.59699198Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 165"
2024-02-14T17:55:02.317026484Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 162"
2024-02-14T17:55:04.417076265Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 163"
2024-02-14T17:55:04.418705804Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 162"
2024-02-14T17:55:04.782150766Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 165"
2024-02-14T17:55:05.496762303Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 161"
2024-02-14T17:55:06.327150389Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 159"
2024-02-14T17:55:07.077256604Z,"'Temperature = 23.80  Humidity = 93.00  Air Quality = 158"
2024-02-14T17:55:07.936923914Z,"'Temperature = 23.80  Humidity = 93.00  Air Quality = 159"
2024-02-14T17:55:08.876894507Z,"'Temperature = 23.80  Humidity = 93.00  Air Quality = 158"
2024-02-14T17:55:09.777013104Z,"'Temperature = 23.60  Humidity = 93.00  Air Quality = 160"
2024-02-14T17:55:10.477410235Z,"'Temperature = 23.60  Humidity = 93.00  Air Quality = 133"
2024-02-14T17:55:11.122189831Z,"'Temperature = 23.60  Humidity = 93.00  Air Quality = 156"
2024-02-14T17:55:11.837100106Z,"'Temperature = 23.40  Humidity = 93.00  Air Quality = 149"
2024-02-14T17:55:13.037249912Z,"'Temperature = 23.40  Humidity = 93.00  Air Quality = 125"
2024-02-14T17:55:13.677129326Z,"'Temperature = 23.40  Humidity = 93.00  Air Quality = 127"
2024-02-14T17:55:14.031940714Z,"'Temperature = 23.00  Humidity = 93.00  Air Quality = 124"
2024-02-14T17:55:14.777267141Z,"'Temperature = 23.00  Humidity = 93.00  Air Quality = 125"
2024-02-14T17:55:15.496952113Z,"'Temperature = 23.00  Humidity = 93.00  Air Quality = 133"
2024-02-14T17:55:16.196981034Z,"'Temperature = 23.00  Humidity = 92.00  Air Quality = 123"
2024-02-14T17:55:16.897166938Z,"'Temperature = 23.00  Humidity = 92.00  Air Quality = 150"
2024-02-14T17:55:17.677350035Z,"'Temperature = 23.00  Humidity = 92.00  Air Quality = 126"
2024-02-14T17:55:18.417068352Z,"'Temperature = 22.80  Humidity = 92.00  Air Quality = 125"
2024-02-14T17:55:19.157049493Z,"'Temperature = 22.80  Humidity = 92.00  Air Quality = 154"
2024-02-14T17:55:19.866882031Z,"'Temperature = 22.80  Humidity = 92.00  Air Quality = 134"
2024-02-14T17:55:20.577064102Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 172"
2024-02-14T17:55:21.697269667Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 182"
2024-02-14T17:55:22.307026203Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 176"
2024-02-14T17:55:23.097008154Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 158"
2024-02-14T17:55:23.837386676Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 126"
2024-02-14T17:55:24.596914193Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 125"
2024-02-14T17:55:25.337127806Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 125"
2024-02-14T17:55:26.057372727Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 124"
2024-02-14T17:55:26.766870615Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 128"
2024-02-14T17:55:27.487146956Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 127"
2024-02-14T17:55:28.38207697Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 128"
2024-02-14T17:55:29.492092727Z,"'Temperature = 22.00  Humidity = 90.00  Air Quality = 128"
